Where the previous job was based for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
University,144,46.00638977635783,54.11392405063291,-8.107534274275082
Private Company,58,18.53035143769968,10.443037974683545,8.087313463016134
Other,40,12.779552715654951,10.443037974683545,2.336514740971406
Helmholtz Association of German Research Centres,31,9.904153354632587,6.962025316455696,2.9421280381768913
Leibniz Association,11,3.5143769968051117,3.79746835443038,-0.28309135762526827
Fraunhofer Society,10,3.1948881789137378,,
Max Planck Society,9,2.8753993610223643,11.075949367088606,-8.200550006066242
Government,5,1.5974440894568689,2.2151898734177213,-0.6177457839608524
University of Applied Sciences,5,1.5974440894568689,0.949367088607595,0.6480770008492739
