Working with same researchers for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
"Different researchers, same research group",53,17.966101694915253,,
Regularly change researcher(s),98,33.220338983050844,35.785953177257525,-2.565614194206681
Same researcher(s),144,48.8135593220339,64.21404682274247,-15.400487500708572
