Use of Digital Object Identifier for Germany,Count,Percentage,Percentage in 2017,Difference with previous year
1 (None at all),,,,
2,22.0,7.4324324324324325,11.320754716981133,-3.8883222845487007
3,15.0,5.0675675675675675,13.20754716981132,-8.139979602243752
4,6.0,2.027027027027027,1.8867924528301887,0.1402345741968385
5,18.0,6.081081081081082,18.867924528301888,-12.786843447220807
6,6.0,2.027027027027027,7.547169811320755,-5.520142784293728
7,5.0,1.6891891891891893,13.20754716981132,-11.518357980622131
8,4.0,1.3513513513513513,7.547169811320755,-6.195818459969404
9,7.0,2.364864864864865,1.8867924528301887,0.4780724120346762
10 (All the time),14.0,4.72972972972973,,
