Operating systems for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
GNU/Linux,14,73.68421052631578,54.54545454545454,19.13875598086124
Windows,5,26.31578947368421,18.181818181818183,8.133971291866025
