Bus factor for World,Count,Percentage
0.0,3,7.317073170731707
1.0,18,43.90243902439025
2.0,12,29.268292682926827
3.0,6,14.634146341463413
5.0,1,2.4390243902439024
6.0,1,2.4390243902439024
