Use of Digital Object Identifier for Australia,Count,Percentage
1 (None at all),,
2,4.0,14.814814814814813
3,3.0,11.11111111111111
4,1.0,3.7037037037037033
5,3.0,11.11111111111111
6,1.0,3.7037037037037033
7,3.0,11.11111111111111
8,1.0,3.7037037037037033
9,,
10 (All the time),3.0,11.11111111111111
