Operating systems for World,Count,Percentage,Percentage in 2018,Difference with previous year
GNU/Linux,503,63.19095477386934,61.729857819905206,1.4610969539641374
macOS,167,20.979899497487438,,
Windows,118,14.824120603015075,20.61611374407583,-5.791993141060754
Other,8,1.0050251256281406,1.066350710900474,-0.06132558527233334
