Use of Digital Object Identifier for Germany,Count,Percentage
1 (None at all),,
2,16.0,8.24742268041237
3,11.0,5.670103092783505
4,10.0,5.154639175257731
5,20.0,10.309278350515463
6,5.0,2.5773195876288657
7,5.0,2.5773195876288657
8,16.0,8.24742268041237
9,7.0,3.608247422680412
10 (All the time),20.0,10.309278350515463
