Open source use for Australia,Count,Percentage
1 (None at all),,
2,,
3,1.0,3.225806451612903
4,2.0,6.451612903225806
5,1.0,3.225806451612903
6,,
7,2.0,6.451612903225806
8,7.0,22.58064516129032
9,2.0,6.451612903225806
10 (All the time),14.0,45.16129032258064
