Use of version control for World,Count,Percentage,Percentage in 2018,Difference with previous year
Git,803.0,81.44016227180528,82.72357723577237,-1.2834149639670898
SVN,70.0,7.099391480730223,22.459349593495933,-15.35995811276571
None,30.0,3.0425963488843815,3.861788617886179,-0.8191922690017974
Mercurial,10.0,1.0141987829614605,5.589430894308943,-4.575232111347482
CVS,9.0,0.9127789046653144,4.166666666666666,-3.2538877620013515
