What is important for such an organisation for Germany,Count,Percentage
Networking,123.0,47.674418604651166
Research software standards and interoperability definition,103.0,39.922480620155035
Job opportunities,80.0,31.007751937984494
Training,73.0,28.294573643410853
Research collaborations,72.0,27.906976744186046
,0.0,0.0
other. What would you hope to get out of such an organisation (check all that apply)? ,0.0,0.0
Software collaborations,0.0,0.0
