Acknowledgment in paper for New Zealand,Count,Percentage
Not mentioned at all,1.0,4.166666666666666
Acknowledged in the main text,2.0,8.333333333333332
Acknowledged in acknowledgements section,6.0,25.0
Named as co-author,15.0,62.5
Named as main author,,
