What is important for such an organisation for New Zealand,Count,Percentage
Networking,16.0,57.14285714285714
Research collaborations,12.0,42.857142857142854
Training,10.0,35.714285714285715
Research software standards and interoperability definition,8.0,28.57142857142857
Job opportunities,8.0,28.57142857142857
,0.0,0.0
other. What would you hope to get out of such an organisation (check all that apply)? ,0.0,0.0
Software collaborations,0.0,0.0
