Number of software projects for Australia,Count,Percentage
0,2,6.451612903225806
1,4,12.903225806451612
2,10,32.25806451612903
3,5,16.129032258064516
4,3,9.67741935483871
5,5,16.129032258064516
6,1,3.225806451612903
7,1,3.225806451612903
