Highest level of education for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
Doctorate,7,30.434782608695656,73.68421052631578,-43.249427917620125
Undergraduate degree,6,26.08695652173913,,
Master degree,6,26.08695652173913,15.789473684210526,10.297482837528603
"Further Education (NVQ A-Level, ...)",2,8.695652173913043,,
Other,2,8.695652173913043,,
