Number of software projects for Germany,Count,Percentage
0,3,1.4018691588785046
1,39,18.22429906542056
10,4,1.8691588785046727
15+,7,3.2710280373831773
2,60,28.037383177570092
3,54,25.233644859813083
4,19,8.878504672897195
5,22,10.2803738317757
6,3,1.4018691588785046
7,2,0.9345794392523363
8,1,0.46728971962616817
