Number of software projects for World,Count,Percentage
0,17,2.063106796116505
1,131,15.898058252427186
10,17,2.063106796116505
13,1,0.12135922330097086
15+,22,2.669902912621359
2,214,25.970873786407765
3,208,25.24271844660194
4,82,9.951456310679612
5,88,10.679611650485436
6,17,2.063106796116505
7,17,2.063106796116505
8,10,1.2135922330097086
