Citation of software for New Zealand,Count,Percentage
1 (None at all),,
2,4.0,11.76470588235294
3,4.0,11.76470588235294
4,1.0,2.941176470588235
5,4.0,11.76470588235294
6,2.0,5.88235294117647
7,1.0,2.941176470588235
8,3.0,8.823529411764707
9,1.0,2.941176470588235
10 (All the time),10.0,29.411764705882355
