Open source use for New Zealand,Count,Percentage
1 (None at all),,
2,,
3,1.0,3.8461538461538463
4,1.0,3.8461538461538463
5,3.0,11.538461538461538
6,1.0,3.8461538461538463
7,,
8,2.0,7.6923076923076925
9,5.0,19.230769230769234
10 (All the time),13.0,50.0
