What is important for such an organisation for Australia,Count,Percentage
Networking,16.0,50.0
Job opportunities,14.0,43.75
Research software standards and interoperability definition,13.0,40.625
Training,9.0,28.125
Research collaborations,8.0,25.0
other. What would you hope to get out of such an organisation (check all that apply)? ,3.0,9.375
