Number of software projects for New Zealand,Count,Percentage
0,1,3.8461538461538463
1,1,3.8461538461538463
10,1,3.8461538461538463
15+,1,3.8461538461538463
2,6,23.076923076923077
3,7,26.923076923076923
5,6,23.076923076923077
6,2,7.6923076923076925
7,1,3.8461538461538463
