developing code for others for United Kingdom,Count,Percentage
0 - Mostly me,12,7.361963190184049
1,12,7.361963190184049
2,18,11.042944785276074
3,36,22.085889570552148
4,39,23.92638036809816
5 - Mostly other people,46,28.22085889570552
