Field of education for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
Computer Science,10,45.45454545454545,5.263157894736842,40.19138755980861
Biological Sciences,4,18.181818181818183,,
Mathematics,3,13.636363636363635,,
Economics,1,4.545454545454546,5.263157894736842,-0.7177033492822957
Business & Management Studies,1,4.545454545454546,,
Communication & Media Studies,1,4.545454545454546,,
Physics and Astronomy,1,4.545454545454546,63.1578947368421,-58.612440191387556
Psychology,1,4.545454545454546,,
