Use of version control for Germany,Count,Percentage
Git,208.0,80.62015503875969
SVN,19.0,7.3643410852713185
None,9.0,3.488372093023256
Mercurial,2.0,0.7751937984496124
CVS,1.0,0.3875968992248062
