Attending a national conference of RSE/RSD for World,Count,Percentage,Percentage in 2018,Difference with previous year
Yes,620,86.7132867132867,81.61668839634942,5.096598316937289
No,95,13.286713286713287,18.383311603650586,-5.0965983169373
