How many years of software development experience for United Kingdom (without 95 percentile),Results in 2018,Results in 2017
count,216.0,137.0
mean,10.777777777777779,12.379562043795621
std,6.617571160328803,6.201436487836216
min,0.0,1.0
25%,5.0,7.0
50%,10.0,12.0
75%,16.0,17.0
max,28.0,27.0
