Number of software developers per projects for Germany,Count,Percentage
0.0,2,0.966183574879227
1.0,45,21.73913043478261
2.0,69,33.33333333333333
3.0,49,23.67149758454106
4.0,9,4.3478260869565215
5.0,15,7.246376811594203
7.0,3,1.4492753623188406
8.0,2,0.966183574879227
9.0,1,0.4830917874396135
10.0,7,3.3816425120772946
12.0,1,0.4830917874396135
15.0,1,0.4830917874396135
18.0,1,0.4830917874396135
20.0,1,0.4830917874396135
50.0,1,0.4830917874396135
