Use of Digital Object Identifier for New Zealand,Count,Percentage
1 (None at all),,
2,1.0,4.761904761904762
3,1.0,4.761904761904762
4,1.0,4.761904761904762
5,,
6,1.0,4.761904761904762
7,,
8,,
9,1.0,4.761904761904762
10 (All the time),2.0,9.523809523809524
