Highest level of education for Australia,Count,Percentage
AQF 10 - Doctoral Degree,19,59.375
AQF 8 - Bachelor Honours Degree / Graduate Certificate / Graduate Diploma,7,21.875
AQF 9 - Masters Degree,4,12.5
AQF 7 - Bachelor Degree,2,6.25
