Open source use for United Kingdom,Count,Percentage
1 (None at all),,
2,,
3,5.0,3.289473684210526
4,4.0,2.631578947368421
5,12.0,7.894736842105263
6,8.0,5.263157894736842
7,9.0,5.921052631578947
8,20.0,13.157894736842104
9,26.0,17.105263157894736
10 (All the time),60.0,39.473684210526315
