Highest level of education for United Kingdom,Count,Percentage
Doctorate,124,70.85714285714285
Master degree,35,20.0
Undergraduate degree,13,7.428571428571429
"Further Education (NVQ A-Level, ...)",1,0.5714285714285714
Other,1,0.5714285714285714
GSCEs,1,0.5714285714285714
