Nature of employment for World,Count,Percentage,Percentage in 2018,Difference with previous year
Permanent -- funded by Institution core funding,351,37.82327586206897,29.369918699186993,8.453357162881975
Fixed term -- funded by project funds,258,27.801724137931032,32.52032520325203,-4.718601065320996
Permanent -- funded by project funds,159,17.13362068965517,15.24390243902439,1.8897182506307804
Fixed term -- funded by Institution core funding,100,10.775862068965516,13.414634146341465,-2.6387720773759487
Fixed term -- Research/Student Assistant,26,2.8017241379310347,,
Prefer not to say,16,1.7241379310344827,1.321138211382114,0.4029997196523687
"Fixed term -- Freelancer, consultant, contractor",11,1.1853448275862069,,
Fixed term -- Agency staff,6,0.646551724137931,,
Zero hours contract,1,0.10775862068965517,0.10162601626016261,0.0061326044294925525
