Highest level of education for United States,Count,Percentage
Doctorate,84,52.5
Undergraduate degree,36,22.5
Master degree,36,22.5
Associate degree (typically from a community college),1,0.625
None,1,0.625
High School,1,0.625
Other,1,0.625
