Number of software projects for United Kingdom,Count,Percentage
0,2,1.3071895424836601
1,27,17.647058823529413
10,2,1.3071895424836601
15+,4,2.6143790849673203
2,42,27.450980392156865
3,32,20.915032679738562
4,20,13.071895424836603
5,15,9.803921568627452
6,3,1.9607843137254901
7,5,3.2679738562091507
8,1,0.6535947712418301
