Bus factor for Netherlands,Count,Percentage
1.0,33,56.896551724137936
1.3,1,1.7241379310344827
1.5,1,1.7241379310344827
2.0,18,31.03448275862069
3.0,3,5.172413793103448
4.0,1,1.7241379310344827
10.0,1,1.7241379310344827
