developing code for others for New Zealand,Count,Percentage
0 - Mostly me,2,7.6923076923076925
1,1,3.8461538461538463
2,4,15.384615384615385
3,6,23.076923076923077
4,5,19.230769230769234
5 - Mostly other people,8,30.76923076923077
