developing code for others for Germany,Count,Percentage
0 - Mostly me,21,8.536585365853659
1,40,16.260162601626014
2,47,19.10569105691057
3,42,17.073170731707318
4,51,20.73170731707317
5 - Mostly other people,45,18.29268292682927
