developing code for others for World,Count,Percentage,Percentage in 2018,Difference with previous year
0 - Mostly me,72,7.725321888412018,6.910569105691057,0.8147527827209604
1,105,11.266094420600858,13.414634146341465,-2.1485397257406067
2,141,15.128755364806867,17.784552845528456,-2.6557974807215885
3,186,19.95708154506438,17.98780487804878,1.969276667015599
4,185,19.84978540772532,17.88617886178862,1.9636065459367025
5 - Mostly other people,243,26.07296137339056,26.01626016260163,0.05670121078892976
