Organisation type for World,Count,Percentage,Percentage in 2018,Difference with previous year
University,390,62.5,47.5609756097561,14.939024390243901
National laboratory,86,13.782051282051283,10.16260162601626,3.619449656035023
Government,55,8.814102564102564,5.487804878048781,3.326297686053783
Non-profit organization,38,6.089743589743589,4.369918699186992,1.7198248905565974
Private company,36,5.769230769230769,3.861788617886179,1.9074421513445903
Other,17,2.7243589743589745,5.487804878048781,-2.7634459036898065
NGO,2,0.3205128205128205,0.5081300813008129,-0.18761726078799246
