Citation of software for United Kingdom,Count,Percentage
1 (None at all),,
2,8.0,6.837606837606838
3,7.0,5.982905982905983
4,6.0,5.128205128205128
5,6.0,5.128205128205128
6,8.0,6.837606837606838
7,10.0,8.547008547008547
8,17.0,14.529914529914532
9,7.0,5.982905982905983
10 (All the time),45.0,38.46153846153847
