What is important for such an organisation for World,Count,Percentage,Percentage in 2018,Difference with previous year
Networking,483.0,48.985801217038535,27.134146341463417,21.851654875575118
Research software standards and interoperability definition,351.0,35.598377281947265,23.983739837398375,11.61463744454889
Job opportunities,315.0,31.947261663286003,20.32520325203252,11.622058411253484
Training,307.0,31.135902636916835,22.052845528455283,9.083057108461553
Research collaborations,269.0,27.281947261663287,21.443089430894307,5.83885783076898
other. What would you hope to get out of such an organisation (check all that apply)? ,47.0,4.766734279918864,0.0,4.766734279918864
