Number of software developers per projects for United Kingdom,Count,Percentage
0.0,4,2.8169014084507045
1.0,26,18.30985915492958
1.2,1,0.7042253521126761
1.5,1,0.7042253521126761
2.0,52,36.61971830985916
2.5,1,0.7042253521126761
3.0,27,19.014084507042252
4.0,9,6.338028169014084
5.0,8,5.633802816901409
6.0,3,2.112676056338028
7.0,2,1.4084507042253522
8.0,1,0.7042253521126761
10.0,6,4.225352112676056
100.0,1,0.7042253521126761
