Highest level of education for Germany,Count,Percentage
Master degree,121,46.89922480620155
Doctorate,118,45.73643410852713
Undergraduate degree,10,3.875968992248062
"Final secondary-school examinations, general qualification for university entrance",5,1.937984496124031
Other,4,1.550387596899225
