What is important for such an organisation for United Kingdom,Count,Percentage
Networking,101.0,57.714285714285715
Job opportunities,69.0,39.42857142857143
Research software standards and interoperability definition,68.0,38.857142857142854
Training,63.0,36.0
Research collaborations,49.0,28.000000000000004
other. What would you hope to get out of such an organisation (check all that apply)? ,12.0,6.857142857142858
