Open source use for World,Count,Percentage
1 (None at all),,
2,24.0,2.867383512544803
3,29.0,3.464755077658303
4,13.0,1.5531660692951015
5,39.0,4.659498207885305
6,25.0,2.986857825567503
7,36.0,4.301075268817205
8,91.0,10.87216248506571
9,100.0,11.947431302270012
10 (All the time),412.0,49.22341696535245
