Where the previous job was based for Germany,Percentage in 2018,Percentage
University,46.00638977635783,0.0
Private Company,18.53035143769968,0.0
Other,12.779552715654951,0.0
Helmholtz Association of German Research Centres,9.904153354632587,0.0
Leibniz Association,3.5143769968051117,0.0
Fraunhofer Society,3.1948881789137378,0.0
Max Planck Society,2.8753993610223643,0.0
University of Applied Sciences,1.5974440894568689,0.0
Government,1.5974440894568689,0.0
