developing code for others for Netherlands,Count,Percentage
0 - Mostly me,7,11.11111111111111
1,8,12.698412698412698
2,3,4.761904761904762
3,9,14.285714285714285
4,14,22.22222222222222
5 - Mostly other people,22,34.92063492063492
