Citation of software for Australia,Count,Percentage
1 (None at all),,
2,1.0,3.571428571428571
3,3.0,10.714285714285714
4,,
5,1.0,3.571428571428571
6,2.0,7.142857142857142
7,2.0,7.142857142857142
8,4.0,14.285714285714285
9,3.0,10.714285714285714
10 (All the time),10.0,35.714285714285715
