Bus factor for United States,Count,Percentage
1.0,63,44.05594405594406
1.5,2,1.3986013986013985
2.0,49,34.26573426573427
3.0,17,11.888111888111888
4.0,4,2.797202797202797
5.0,6,4.195804195804196
7.0,1,0.6993006993006993
10.0,1,0.6993006993006993
