What is important for such an organisation for United States,Count,Percentage
Networking,102.0,63.74999999999999
Research software standards and interoperability definition,76.0,47.5
Training,66.0,41.25
Job opportunities,61.0,38.125
Research collaborations,52.0,32.5
,0.0,0.0
other. What would you hope to get out of such an organisation (check all that apply)? ,0.0,0.0
Software collaborations,0.0,0.0
