Citation of software for United States,Count,Percentage
1 (None at all),,
2,5.0,4.23728813559322
3,7.0,5.932203389830509
4,2.0,1.694915254237288
5,6.0,5.084745762711865
6,7.0,5.932203389830509
7,9.0,7.627118644067797
8,24.0,20.33898305084746
9,15.0,12.711864406779661
10 (All the time),34.0,28.8135593220339
