Number of software projects for United States,Count,Percentage
0,3,2.112676056338028
1,16,11.267605633802818
10,4,2.8169014084507045
13,1,0.7042253521126761
15+,6,4.225352112676056
2,27,19.014084507042252
3,50,35.2112676056338
4,16,11.267605633802818
5,11,7.746478873239436
6,4,2.8169014084507045
7,2,1.4084507042253522
8,2,1.4084507042253522
