Use of Digital Object Identifier for United States,Count,Percentage
1 (None at all),,
2,11.0,9.166666666666666
3,13.0,10.833333333333334
4,3.0,2.5
5,10.0,8.333333333333332
6,9.0,7.5
7,9.0,7.5
8,6.0,5.0
9,7.0,5.833333333333333
10 (All the time),11.0,9.166666666666666
