Number of software developers per projects for South Africa,Count,Percentage
0.0,2,11.11111111111111
1.0,5,27.77777777777778
2.0,5,27.77777777777778
3.0,3,16.666666666666664
4.0,2,11.11111111111111
8.0,1,5.555555555555555
