Use of Digital Object Identifier for United Kingdom,Count,Percentage
1 (None at all),,
2,10.0,7.874015748031496
3,9.0,7.086614173228346
4,9.0,7.086614173228346
5,11.0,8.661417322834646
6,9.0,7.086614173228346
7,10.0,7.874015748031496
8,17.0,13.385826771653544
9,2.0,1.574803149606299
10 (All the time),16.0,12.598425196850393
