Operating systems for United Kingdom,Count,Percentage,Percentage in 2017,Difference with previous year
GNU/Linux,126,61.46341463414634,61.29032258064516,0.17309205350117907
OS X,39,19.024390243902438,23.502304147465438,-4.477913903563
Windows,37,18.048780487804876,14.285714285714285,3.7630662020905916
iOS,1,0.4878048780487805,,
Android,1,0.4878048780487805,,
Other,1,0.4878048780487805,0.9216589861751152,-0.43385410812633474
