Highest level of education for Australia,Count,Percentage
AQF 10 - Doctoral Degree,63,64.28571428571429
AQF 8 - Bachelor Honours Degree / Graduate Certificate / Graduate Diploma,13,13.26530612244898
AQF 7 - Bachelor Degree,11,11.224489795918368
AQF 9 - Masters Degree,11,11.224489795918368
