Working with same researchers for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
"Different researchers, same research group",3,14.285714285714285,,
Regularly change researcher(s),9,42.857142857142854,43.75,-0.8928571428571459
Same researcher(s),9,42.857142857142854,56.25,-13.392857142857146
