Nature of employment for Australia,Count,Percentage
Permanent -- funded by Institution core funding,36,36.36363636363637
Fixed term -- funded by project funds,23,23.232323232323232
Fixed term -- funded by Institution core funding,18,18.181818181818183
Permanent -- funded by project funds,12,12.121212121212121
Research/Student Assistant,5,5.05050505050505
"Freelancer, consultant, contractor",3,3.0303030303030303
Prefer not to say,1,1.0101010101010102
Zero hours contract,1,1.0101010101010102
