Where the previous job was based for South Africa,Count,Percentage,Percentage in 2017,Difference with previous year
University,13,61.904761904761905,57.89473684210527,4.010025062656638
National laboratory,3,14.285714285714285,,
Non-profit organization,2,9.523809523809524,,
Other,1,4.761904761904762,,
Private company,1,4.761904761904762,,
Government,1,4.761904761904762,,
