Reasons to choose current job,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Rank 6,Rank 7,Rank 8
Desire to work in a research environment,22.22222222222222,13.88888888888889,19.444444444444446,,11.11111111111111,,,
Freedom to choose own working practices,22.22222222222222,5.555555555555555,,11.11111111111111,13.88888888888889,,,
Desire to advance research,13.88888888888889,5.555555555555555,19.444444444444446,8.333333333333332,11.11111111111111,,,
Opportunity to develop software,13.88888888888889,22.22222222222222,11.11111111111111,19.444444444444446,8.333333333333332,,,
The salary,8.333333333333332,5.555555555555555,2.7777777777777777,16.666666666666664,2.7777777777777777,,,
Ability to work across disciplines,5.555555555555555,8.333333333333332,13.88888888888889,13.88888888888889,5.555555555555555,,,
I want to learn new skills,5.555555555555555,13.88888888888889,11.11111111111111,16.666666666666664,19.444444444444446,,,
Opportunity for career advancement,5.555555555555555,5.555555555555555,2.7777777777777777,5.555555555555555,16.666666666666664,,,
Flexible working hours,2.7777777777777777,19.444444444444446,19.444444444444446,8.333333333333332,11.11111111111111,,,
