Open source use for South Africa,Count,Percentage
1 (None at all),,
2,1.0,4.761904761904762
3,,
4,,
5,2.0,9.523809523809524
6,,
7,,
8,2.0,9.523809523809524
9,1.0,4.761904761904762
10 (All the time),13.0,61.904761904761905
