Highest level of education for New Zealand,Count,Percentage
Doctorate,14,37.83783783783784
Master degree,10,27.027027027027028
Undergraduate degree,10,27.027027027027028
"Further Education (NVQ A-Level, ...)",2,5.405405405405405
Other,1,2.7027027027027026
