Use of Digital Object Identifier for United Kingdom,Count,Percentage
1 (None at all),,
2,19.0,8.878504672897195
3,14.0,6.5420560747663545
4,10.0,4.672897196261682
5,19.0,8.878504672897195
6,11.0,5.14018691588785
7,10.0,4.672897196261682
8,8.0,3.7383177570093453
9,6.0,2.803738317757009
10 (All the time),21.0,9.813084112149532
